"locationid","time","ssp","pfl","dr","slr","migrcost","migration_submergence_cummulative_1p0","landloss_submergence_cummulative_1p0","migration_submergence_cummulative_10p0","landloss_submergence_cummulative_10p0","migration_submergence_cummulative_100p0","landloss_submergence_cummulative_100p0","landloss_change1_10","landloss_change10_100","landloss_change1_100","migration_change1_10","migration_change10_100","migration_change1_100"
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 6.0","RCP 2.6 hig","Migrationcost 3.0",24597.890425,124509.57755,22840.34145,128776.90825,19910.917825,132725.864,-3.42731120285613,-3.06650920857157,-6.59891922506969,7.14512075886687,12.8256560061189,19.0543681552318
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 6.0","RCP 2.6 low","Migrationcost 3.0",21005.861255,62613.6177,18427.70986,64377.67,13519.558505,66959.2462,-2.81736204487031,-4.01004913660279,-6.9403887838284,12.2734857842895,26.6346246619275,35.6391135746364
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 6.0","RCP 8.5 hig","Migrationcost 3.0",34036.4124,242088.6195,35987.37275,251518.532,35372.9936,257374.1545,-3.89523163851162,-2.32810777537458,-6.31402460453124,-5.7319799956355,1.707207564909,-3.92691563462194
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 6.0","RCP 8.5 low","Migrationcost 3.0",26734.12015,129076.68555,24790.47045,132875.19345,21014.257345,136606.03335,-2.94283036771081,-2.80777758672006,-5.83323608591065,7.27029612006886,15.2325189335001,21.395365820558
"GLOBAL_000",2100,"SSP3","Table protection levels","Discount rate 0.0","H++","Migrationcost 3.0",63661.56845,389015.478,71594.1311,406380.7575,73903.439725,409934.8785,-4.46390451847266,-0.87457905779409,-5.37752395034523,-12.4605202842752,-3.22555576765706,-16.0879970826418
"GLOBAL_000",2100,"SSP3","Table protection levels","Discount rate 0.0","RCP 2.6 hig","Migrationcost 3.0",31213.05485,125968.6465,36958.0283,134654.3467,35468.353675,135736.6464,-6.89512862234333,-0.803761428074273,-7.75431043470011,-18.4056750536226,4.03071996403011,-13.6330738706916
"GLOBAL_000",2100,"SSP3","Table protection levels","Discount rate 0.0","RCP 2.6 low","Migrationcost 3.0",23585.335825,62157.19297,30750.309595,68245.81725,28629.0845,68912.20685,-9.79552645329182,-0.97645486104866,-10.867630208559,-30.3789347040175,6.89822353965799,-21.3851043395097
"GLOBAL_000",2100,"SSP3","Table protection levels","Discount rate 0.0","RCP 8.5 hig","Migrationcost 3.0",43473.5491,242774.122,51821.91725,254946.457,53152.3855,260925.2855,-5.01385192940786,-2.34513104059336,-7.47656436792715,-19.2033278230785,-2.56738523119771,-22.2637364567044
"GLOBAL_000",2100,"SSP3","Table protection levels","Discount rate 0.0","RCP 8.5 low","Migrationcost 3.0",30852.25117,128306.5449,38700.08495,138421.01535,37349.47311,139908.99665,-7.88305106172336,-1.07496776861346,-9.04275908843368,-25.4368270787029,3.48994541418958,-21.0591502843648
"GLOBAL_000",2100,"SSP3","Table protection levels","Discount rate 1.5","H++","Migrationcost 3.0",62467.01605,390634.103,68060.9059,407920.195,67352.9611,411098.0805,-4.42513643003668,-0.77904588665927,-5.23865616003321,-8.95494967379669,1.04016364554442,-7.82163989726864
"GLOBAL_000",2100,"SSP3","Table protection levels","Discount rate 1.5","RCP 2.6 hig","Migrationcost 3.0",28975.03922,125162.81975,32141.78055,132703.5289,30415.13925,133397.58565,-6.02471977306185,-0.523013031946575,-6.5792428745598,-10.9292046369834,5.37195286152248,-4.97014005422286
"GLOBAL_000",2100,"SSP3","Table protection levels","Discount rate 1.5","RCP 2.6 low","Migrationcost 3.0",22837.04715,62460.897725,26946.073065,67004.9897,23614.73981,67279.3311,-7.27509872657695,-0.409434284264938,-7.71431975924261,-17.9928074238792,12.3629637868348,-3.4053993709953
"GLOBAL_000",2100,"SSP3","Table protection levels","Discount rate 1.5","RCP 8.5 hig","Migrationcost 3.0",41983.6339,243705.2105,47854.2403,257726.3405,47688.008775,258765.0585,-5.75331564361444,-0.403031369624411,-6.17953468007613,-13.9830830603732,0.347370523401655,-13.587139428157
"GLOBAL_000",2100,"SSP3","Table protection levels","Discount rate 1.5","RCP 8.5 low","Migrationcost 3.0",29540.0744,128288.58635,34053.092755,136710.9722,32526.257375,137579.5095,-6.56518719991336,-0.635309138705691,-7.24220557287323,-15.2776133664714,4.48369077952784,-10.1089216450992
