"locationid","locationname","time","coastlength","gdp","gdpc","length_protected","protlevel_implemented"
"PRK","Korea, Democratic Peoples Republic",2010,1516.49173939135,116333.296,4778.30178,1516.42825639248,55.2139124
"PRT","Portugal",2010,1671.6986771822,267409.47,25284.912,1649.53075230122,107.7205076
"PRY","Paraguay",2010,0,26840.982,4158.725,0,0
"PSE","West Bank and Gaza",2010,40.0555000305176,11980.9648,2966.48808,40.0555000305176,24.9999968
"PYF","French Polynesia",2010,5022.7703338787,7471.4389,27593.9336,2345.11550924778,86.378048
"QAT","Qatar",2010,463.474199295044,159062.92,90436.86,43.8079414367676,200.00008
"REU","Reunion",2010,193.472213745117,33628.08,48915.82,193.472213745117,200.00008
"ROU","Romania",2010,361.565252780914,394750.75,18369.336,230.595741271973,92.801758
"RUS","Russian Federation",2010,68263.1101740152,3619488.5,25412.328,4246.81137342751,81.2750408
"RWA","Rwanda",2010,0,12119.212,1140.7112,0,0
"SAU","Saudi Arabia",2010,3057.36966228485,518849.4,18903.67,1694.43231582642,48.0228136
"SDN","Sudan",2010,810.613670349121,117032.91,2687.135,0,0
"SEN","Senegal",2010,1038.62530738115,14556.631,1170.7228,227.174510240555,20.6570886
"SGP","Singapore",2010,95.3974672555923,300296.196,58320.1596,95.3974672555923,1979.15988
"SGS","South Georgia and the South Sandwich Islands",2010,517.359191894531,1.3304669,49753.07,0,0
"SHN","Saint Helena",2010,45.4422645568848,212.8747,49753.07,0,0
"SJM","Svalbard and Jan Mayen",2010,5305.4407037925,312.62616,107341.94,0,0
"SLB","Solomon Islands",2010,3491.51774100214,599.77412,1114.49522,116.46093249321,25.0000076
"SLE","Sierra Leone",2010,684.553150177002,8870.9774,1511.92192,45.8905410766602,25.0000078
"SLV","El Salvador",2010,349.420051366091,29600.22,4779.5063,332.369438529015,28.8245068
"SMR","San Marino",2010,0,2238.163,80991.91,0,0
"SOM","Somalia",2010,3053.59094706178,1102.17528,118.121064,194.471667766571,10.0000023
"SPM","Saint Pierre and Miquelon",2010,127.646404266357,318.58154,48915.82,127.646404266357,50.0000084
"SRB","Serbia",2010,0,71597.3752,9458.2202,0,0
"SSD","South Sudan",2010,0,34539.734,2812.164,0,0
"STP","Sao Tome and Principe",2010,169.928199768066,511.991986,2890.42382,169.928199768066,25.0000092
"SUR","Suriname",2010,584.177800655365,6979.8896,13304.4752,138.879540920258,50.000004
"SVK","Slovakia",2010,0,182917.642,33530.682,0,0
"SVN","Slovenia",2010,23.6886630654335,76591.984,37287.496,23.6886630654335,195.371192
"SWE","Sweden",2010,4847.91549618542,677620.674,72244.902,2027.86455263197,59.1768254
"SWZ","Swaziland",2010,0,4614.97366,3890.85848,0,0
"SYC","Seychelles",2010,149.933242797852,13290.6584,13952.3163,67.3594360351562,50.0000004
"SYR","Syrian Arab Rep",2010,158.692609906197,78298.1,3836.076,46.8872528076172,25.0000062
"TCA","Turks and Caicos Islands",2010,299.453536987305,926.2221,28767.658,51.0371799468994,49.999976
"TCD","Chad",2010,0,12469.519,1110.65,0,0
"TGO","Togo",2010,50.1624765992165,3261.0974,540.9961,23.8052940368652,99.9999656
"THA","Thailand",2010,2901.01598352194,543615.2,7864.8086,2405.04171216488,33.4435648
"TJK","Tajikistan",2010,0,13191.617,1917.7001,0,0
"TKL","Tokelau",2010,12.0561428070068,60.7723044,39332.09,12.0561428070068,50.0000666
"TKM","Turkmenistan",2010,0,119987.92,23796.479,0,0
