"locationid","time","ssp","pfl","dr","slr","migrlevel","migration_submergence_cummulative_2p0","landloss_submergence_cummulative_2p0","migration_submergence_cummulative_3p0","landloss_submergence_cummulative_3p0","migration_submergence_cummulative_4p0","landloss_submergence_cummulative_4p0","landloss_change3_2","landloss_change3_4","migration_change3_2","migration_change3_4"
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 0.0","RCP 8.5 hig","Migrationlevel   1.0",44473.5675,246013.7755,37317.95775,240055.2035,33189.05415,237296.214,2.48216739863337,-1.14931459921467,19.1747088571587,-11.0641199276238
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 0.0","RCP 8.5 hig","Migrationlevel  10.0",54549.2097,265346.816,47946.6271,256107.691,40178.92945,250247.9025,3.60751563684981,-2.28801738718577,13.770692537411,-16.2007175891628
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 0.0","RCP 8.5 low","Migrationlevel   1.0",30658.00555,128557.69885,26410.57085,126970.76145,23951.105975,125391.9391,1.24984475313627,-1.24345347855674,16.0823282621322,-9.31242603186671
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 0.0","RCP 8.5 low","Migrationlevel  10.0",42621.51605,142076.15325,36186.968005,138719.85935,30501.05713,133549.55975,2.41947614114272,-3.72715170288271,17.7813958995153,-15.7125926499683
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 1.5","H++","Migrationlevel   1.0",60989.0991,394990.987,53425.5123,389166.4515,44949.13605,378175.61125,1.49666947845837,-2.82420034091762,14.1572564761349,-15.8657837521569
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 1.5","H++","Migrationlevel  10.0",71640.7636,421989.6275,60917.0503,409074.896,51290.3891,396528.081,3.15705794373654,-3.06711927881294,17.6037960590485,-15.8029010803893
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 1.5","RCP 2.6 hig","Migrationlevel   1.0",29535.487025,126370.0849,25245.384025,124523.19475,21898.293495,121868.866,1.48316958435569,-2.13159384107434,16.9936135483287,-13.2582278276513
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 1.5","RCP 2.6 hig","Migrationlevel  10.0",35301.69915,135905.4376,29609.1921,132887.40465,25120.884,129772.7283,2.27112039545728,-2.34384617428828,19.2254723829496,-15.1584956618928
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 1.5","RCP 2.6 low","Migrationlevel   1.0",23061.40102,63148.85595,19126.736095,61425.14885,17696.493985,60574.39014,2.80619116480985,-1.3850332085927,20.5715439657714,-7.47771131936036
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 1.5","RCP 2.6 low","Migrationlevel  10.0",30152.960475,68793.98585,24987.30193,66999.33975,21130.535975,65377.4093,2.67860266488671,-2.42081557229077,20.6731345363785,-15.4349035594336
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 1.5","RCP 8.5 hig","Migrationlevel   1.0",41384.68425,245748.1325,36261.4236,242480.9115,31074.2771,237563.758,1.34741369115978,-2.02785178824272,14.1286804029393,-14.304861709842
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 1.5","RCP 8.5 hig","Migrationlevel  10.0",50266.0038,262946.881,43406.62985,257774.3815,35502.9951,250075.128,2.00659951927768,-2.98681872698044,15.8025950729276,-18.208358440433
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 1.5","RCP 8.5 low","Migrationlevel   1.0",30050.9443,129850.172,24601.17055,126596.04285,22509.78395,125139.0137,2.57048251804816,-1.15092787831164,22.1524977395842,-8.50116703085089
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 1.5","RCP 8.5 low","Migrationlevel  10.0",36894.1302,140213.9176,30978.65845,136578.81895,26416.810325,133716.25985,2.66153908632844,-2.09590266046153,19.0953128572293,-14.725776883989
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 3.0","H++","Migrationlevel   1.0",57753.2067,393703.354,51485.7476,387299.8175,45125.6477,379624.075,1.65337968433202,-1.98186060338125,12.173192372951,-12.3531272176768
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 3.0","H++","Migrationlevel  10.0",67925.0991,418487.655,56755.5271,407707.619,49738.87465,398262.12,2.64406047315001,-2.31673350210314,19.680148473152,-12.3629412121168
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 3.0","RCP 2.6 hig","Migrationlevel   1.0",28445.65587,126286.75515,24868.793695,124048.97215,22491.250205,122953.96645,1.80395126313023,-0.882720494189918,14.3829339648233,-9.56034908310819
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 3.0","RCP 2.6 hig","Migrationlevel  10.0",33292.0397,134922.4819,28150.1428,131619.11315,22427.339725,128734.69895,2.50979411040046,-2.19148581917032,18.2659709278633,-20.3295703174905
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 3.0","RCP 2.6 low","Migrationlevel   1.0",22871.83894,62963.51103,19778.5865,61799.965925,17969.830105,61248.084725,1.88276010768691,-0.893012142870362,15.6394009248335,-9.14502355868555
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 3.0","RCP 2.6 low","Migrationlevel  10.0",27146.184445,67814.08785,22804.86221,66171.4779,18957.30451,64734.65505,2.48235342798653,-2.17136279194392,19.0368273003479,-16.8716551083252
