locationid,locationname,time,attract0,buddism,christianity,civlib,corrupt,democracy,depart0,ecfreedom,gdpc,gini,govqual,hinduism,individ,islam,lati,lifeexp,literacy,longi,mascul,protlevel_ud,totalpop,seadike_unit_cost_rural,seadike_unit_cost_urban,stability,temp,tempmult,tourarr,tourtav
SPM,Saint Pierre and Miquelon,1995,0.086056,0,1,2,1.3,9,21894512,2.5,30849,32.7,9.3,0,71,0,48.9,82.6,100,2.3,43,10,6,3.68,3.68,0.6,10.7,7.9,60033000,459
SRB,Serbia,1995,0.000142,0,1,5,-1,0,239944,3.3,7429,40.2,4.6,0,27,0,44.8,61.2,65,20.5,21,-999.999,7837,3.03,3.03,-1.4,9.9,10,100000,184
SSD,South Sudan,1995,0.000132,0,0,7,-1,0,116241,3.9,1416,43.6,2.7,0,20,1,15.6,55.2,52,32.5,42,-999.999,8500,3.68,3.68,-1.7,26.8,3.4,63000,127
STP,Sao Tome and Principe,1995,0.000005,0,1,2,-0.8,2.9,5247,3.7,1217,43,3.8,0,20.9,0,0.3,56.2,54.3,6.7,46,20,127.935,2.34,2.34,-0.8,23.7,1.3,2000,333
SUR,Suriname,1995,0.000051,0,0,3,0,4.1,105454,3.9,6020,40.5,4.5,0,47,0,5.9,60.7,63.9,-55.2,37,20,435.92,5.85,5.85,-0.2,25.7,0.9,20000,721
SVK,Slovakia,1995,0.001231,0,1,2,0,7,254260,3,13201,19.5,5.7,0,52,0,48.2,68.6,82.5,17.2,110,-999.999,5362,0,0,0.7,6.8,9.5,903000,687
SVN,Slovenia,1995,0.00101,0,1,2,1,10,617596,3,19491,29.2,6.9,0,42.1,0,46.1,75.4,99.6,14.5,60.3,20,1989.87,1.82,1.82,1.1,8.9,9.5,732000,1478
SWE,Sweden,1995,0.00327,0,1,1,2.1,10,7140380,2.4,30061,25,9.6,0,71,0,59.4,82.6,100,18.1,70,20,8826.94,2.82,2.82,1.4,2.1,11.7,2310000,1500
SWZ,Swaziland,1995,0.00103,0,1,5,0,0,51991,3,4946,38.9,5,0,28.3,0,-26.3,63.9,76,31.1,40,-999.999,963.591,0,0,-1.7,21.4,3.8,300000,160
SYC,Seychelles,1995,0.000336,0,1,3,0.6,6.9,36323,2.5,1838,35,6.6,0,39.4,0,-4.6,73.4,94.9,55.5,42,20,750,3.9,3.9,0.5,27.1,1.1,121000,810
SYR,Syrian Arab Rep,1995,0.001399,0,0,7,-0.8,0,2911691,4,4616,39.5,3.1,0,38,1,33.5,62.7,69.9,36.3,53,50,14171.1,2.82,2.82,0.1,17.7,11.3,815000,1642
TCA,Turks and Caicos Islands,1995,0.036241,0,1,2,1.7,10,49062872,1.9,12424,32.6,9.3,0,89,0,51.5,80.2,100,-0.2,66,50,30.1,6.28,6.28,0.9,8.4,5.9,23538000,788
TCD,Chad,1995,0.000015,0,0,5,-0.6,0,11717,3.8,946,44.3,3.5,0,18.9,0,12.2,54,34.6,15,46,-999.999,6998.11,0,0,-0.7,26.5,4.4,7000,1429
TGO,Togo,1995,0.000128,0,0,5,-0.2,1,64519,3.8,1007,43.1,4.3,0,20,0,6.2,55.9,51.6,1.4,46,20,4085.49,3.68,3.68,-0.9,27.1,2.4,55000,245
THA,Thailand,1995,0.016732,0,0,3,-0.2,9,2132506,2.7,6943,46.2,6.3,0,20,0,13.7,67.9,94.2,100.5,14,20,59650.2,7.37,7.37,0.2,26.3,2.5,6952000,1102
TJK,Tajikistan,1995,0.000108,0,0,6,-1.3,0,165330,4,1261,43.4,3.7,0,20.2,1,38.6,55.4,98.8,68.9,33,-999.999,5775.4,5.63,5.63,-1.9,2,12.4,55945,338
TKL,Tokelau,1995,0.008453,0,1,1,2.1,10,1077970,1.7,25012,33,9.6,0,79,0,-41.3,79.2,100,174.8,8,20,1.3,2.6,2.6,1.4,10.5,4.9,1409000,1645
TKM,Turkmenistan,1995,0.001073,0,0,7,-1.3,0,70685,4.3,2497,35.8,4.7,0,26.5,1,38,62.1,66.9,58.4,33,-999.999,4188.01,5.63,5.63,0,15.1,14.1,582966,435
TLS,East Timor,1995,0.00005,0,1,4,-1.2,1.8,2292,4.2,239,45.3,3.3,0,17.6,0,-8.6,52.4,46.9,125.6,40.7,20,852.817,1.3,1.3,-1.1,25.8,0.4,15400,299
TON,Tonga,1995,0.00015,0,1,3,-0.1,5.1,15343,3,4371,38.5,5.1,0,29.3,0,-21.2,64.8,73.1,-175.2,34.5,20,95.907,4.12,4.12,-0.1,25.2,1.7,29000,345
TTO,Trinidad and Tobago,1995,0.000635,0,1,2,0.5,9,305815,2.4,13634,36.2,6.1,0,16,0,10.7,70.2,92.7,-61.5,58,50,1261,4.98,4.98,0.3,25.7,0.7,260000,281
TUN,Tunisia,1995,0.00627,0,0,5,0,1,2083294,3,6051,40.2,4.6,0,38,1,36.8,65.8,64.7,10.2,53,20,8936,8.23,8.23,0.7,19.1,9.2,4120000,340
TUR,Turkey,1995,0.011281,0,0,5,-0.3,8,4664564,2.8,10628,37.3,5.3,0,37,1,39.9,67.6,82,32.8,45,20,58865,2.82,2.82,-0.9,11.1,10.6,7083000,700
TUV,Tuvalu,1995,0.000206,0,1,1,-0.7,3.1,1222,3.7,2033,42.6,3.9,0,21.5,0,-8,56.9,55.7,178,34.5,20,9,1.95,1.95,-0.7,28,0.2,44921,359
TWN,"Taiwan, Province of",1995,0.003903,0,0,2,0.6,7,4933483,2,17662,34.5,8.2,0,17,0,25,74.9,99,121.5,34,100,21400,1.17,1.17,0.9,22.7,5.9,1553150,657
TZA,"Tanzania, United Republic",1995,0.000792,0,0,4,-0.9,2,183958,3.4,947,38.2,4.6,0,27,0,-6.9,52.4,70,39.3,41,20,29944,3.68,3.68,0.6,22.3,1.2,285000,909
UGA,Uganda,1995,0.000476,0,1,5,-0.5,0,146943,3,818,39.2,3,0,27,0,0.3,55.6,61.8,32.6,41,-999.999,20831,0,0,-1,22.8,1.2,188000,415
UKR,Ukraine,1995,0.001152,0,1,4,-0.9,6,1362153,3.6,4793,47.3,5.1,0,29.2,0,50.4,64.7,99.5,30.5,33,50,51122,5.63,5.63,-0.2,8.3,11.8,794000,1040
UMI,United States Minor Outlying Islands,1995,0.120544,0,1,1,1.4,10,59479344,1.8,41319,40.1,9.8,0,91,0,38.9,82.6,100,-77,62,20,0.3,4.98,4.98,1.1,8.5,12.4,43385000,1463
URY,Uruguay,1995,0.008223,0,1,2,0.4,10,290012,2.6,10423,35.5,5.1,0,36,0,-34.9,72,97.3,-56.2,38,20,3223,8.45,8.45,0.3,17.5,6.3,2065000,302
USA,United States of America,1995,0.120544,0,1,1,1.4,10,59479344,1.8,41319,40.1,9.8,0,91,0,38.9,82.6,100,-77,62,20,266324,4.98,4.98,1.1,8.5,12.4,43385000,1463
UZB,Uzbekistan,1995,0.00091,0,0,6,-1,0,418649,4.4,1773,39.9,4.6,0,26.2,1,41.3,61.8,86.4,69.2,33,-999.999,22919,5.63,5.63,-0.3,12.1,15.3,475886,430
VAT,Vatikan,1995,0.046161,0,1,2,0.8,10,18736760,2.3,30820,31.2,8.2,0,76,0,41.9,80.2,98.2,12.5,70,-999.999,1,3.68,3.68,1.2,13.4,8.5,31052000,925
VCT,Saint Vincent and Grenadine,1995,0.000142,0,1,1,-0.3,4.5,15377,3.2,7117,39.6,4.7,0,26.8,0,13.2,62.5,67.7,-61.2,47.9,20,108,2.34,2.34,-0.3,26.8,1.1,60000,683
VEN,Venezuela,1995,0.001479,0,1,4,-0.7,8,625691,3.3,12402,46.8,5.6,0,12,0,10.5,69.1,91,-66.9,73,20,22035,7.8,7.8,-0.2,25.3,0.8,597000,1359
VGB,British Virgin Islands,1995,0.036241,0,1,2,1.7,10,49062872,1.9,21546,32.6,9.3,0,89,0,51.5,80.2,100,-0.2,66,50,27.5,6.28,6.28,0.9,8.4,5.9,23538000,788
VIR,"Virgin Islands, U.S.",1995,0.001012,0,1,2.1,0.6,7,77238,2.5,11493,34.9,6.6,0,40,0,18.4,73.8,96,-64.9,47.9,20,107,3.38,3.38,0.5,25.6,1.4,454000,1811
VNM,Viet Nam,1995,0.003132,1,0,7,-0.3,0,480954,4.3,1461,35.7,3.7,0,20,0,21,55.1,92.1,105.9,40,20,74008,6.07,6.07,0.7,24.4,3,1351000,64
VUT,Vanuatu,1995,0.000206,0,1,3,-0.2,4.8,11717,3.1,4285,39,4.9,0,28.1,0,-17.8,63.7,70.6,168.3,34.5,20,168,3.9,3.9,-0.2,24,1.3,44000,1318
WLF,Wallis and Futuna,1995,0.086056,0,1,2,1.3,9,21894512,2.5,30849,32.7,9.3,0,71,0,48.9,82.6,100,2.3,43,20,11.2,3.68,3.68,0.6,10.7,7.9,60033000,459
WSM,Samoa,1995,0.000339,0,1,2,-0.3,4.2,12593,2.8,3236,40.1,4.6,0,25.8,0,-13.9,61.4,78.5,-171.8,34.5,20,168,3.25,3.25,-0.3,26.7,0.6,68000,485
YEM,Yemen,1995,0.000132,0,0,6,-0.9,1,90831,3.9,2353,39.5,3.6,0,38,1,15.4,54.6,40.1,44.2,53,20,15148,1.56,1.56,-1.5,23.8,4.6,61000,820
ZAF,South Africa,1995,0.016044,0,1,2,0.3,9,2952701,2.9,8635,59.3,6.9,0,65,0,-25.8,69.2,83.3,28.2,39,20,41402,9.53,9.53,-0.5,17.8,5.4,4488000,473
ZMB,Zambia,1995,0.000496,0,1,4,-0.6,0,50767,2.9,1251,49.8,4.1,0,21.9,0,-15.4,57.3,73.2,28.3,40,-999.999,8919,0,0,0,21.4,3,163000,288
ZWE,Zimbabwe,1995,0.004789,0,0,5,-0.3,0,299957,3.9,223,56.8,4.4,0,24,0,-17.8,59.6,84.8,31.1,40,-999.999,11685,0,0,-0.5,21,3.2,1529000,100
